headlines,headline_url
"Roket SpaceX Meledak, Ciptakan Kawah dan Kerusakan Serius di Lokasi Peluncuran",https://www.kompas.com/global/read/2023/04/24/123100870/roket-spacex-meledak-ciptakan-kawah-dan-kerusakan-serius-di-lokasi
"Pasukan Ukraina Tiba Dekat Crimea, Spekulasi Serangan Balik?",https://www.kompas.com/global/read/2023/04/24/114500870/pasukan-ukraina-tiba-dekat-crimea-spekulasi-serangan-balik-
"Penembakan Usai Pesta Perpisahan Sekolah AS, 9 Remaja Jadi Korban",https://www.kompas.com/global/read/2023/04/24/110100470/penembakan-usai-pesta-perpisahan-sekolah-as-9-remaja-jadi-korban
"60 Warga Desa Dibantai di Burkina Faso, Tragedi Kekerasan Terbaru",https://www.kompas.com/global/read/2023/04/24/101500870/60-warga-desa-dibantai-di-burkina-faso-tragedi-kekerasan-terbaru
"Rusia Buat Kemajuan di Bakhmut, Grup Wagner Klaim Kuasai 80 Persen",https://www.kompas.com/global/read/2023/04/24/093100770/rusia-buat-kemajuan-di-bakhmut-grup-wagner-klaim-kuasai-80-persen
"Sudan Masih Mencekam, AS Terjunkan Tim Respons Bencana",https://www.kompas.com/global/read/2023/04/24/084500770/sudan-masih-mencekam-as-terjunkan-tim-respons-bencana
Pejabat Tinggi Uni Eropa Minta Kerahkan Kapal Perang ke Selat Taiwan,https://www.kompas.com/global/read/2023/04/24/080100670/pejabat-tinggi-uni-eropa-minta-kerahkan-kapal-perang-ke-selat-taiwan
"Malaysia Dipanggang Gelombang Panas, Suhu Lampaui 37 Derajat Celsius",https://www.kompas.com/global/read/2023/04/24/071500670/malaysia-dipanggang-gelombang-panas-suhu-lampaui-37-derajat-celsius
"Rangkuman Hari Ke-424 Serangan Rusia ke Ukraina: Kesepakatan Gandum di Ujung Tanduk, Moskwa Usir Diplomat Jerman",https://www.kompas.com/global/read/2023/04/24/063100270/rangkuman-hari-ke-424-serangan-rusia-ke-ukraina--kesepakatan-gandum-di
[KABAR DUNIA SEPEKAN] Arab Saudi Lebaran Jumat | WNI 40 Tahun Dipenjara di Malaysia,https://www.kompas.com/global/read/2023/04/24/054500870/-kabar-dunia-sepekan-arab-saudi-lebaran-jumat-wni-40-tahun-dipenjara-di
"Selama 10 Tahun, Bapak Ini ke Singapura Naik Motor Pukul 2 Pagi Jenguk Anaknya di Penjara",https://www.kompas.com/global/read/2023/04/23/223800670/selama-10-tahun-bapak-ini-ke-singapura-naik-motor-pukul-2-pagi-jenguk
"Lamar Kerja Jadi Pembunuh Bayaran, Pria Ini Langsung Ditangkap FBI",https://www.kompas.com/global/read/2023/04/23/213700270/lamar-kerja-jadi-pembunuh-bayaran-pria-ini-langsung-ditangkap-fbi
Italia Beri Syarat untuk Buka Blokir ChatGPT,https://www.kompas.com/global/read/2023/04/23/203600570/italia-beri-syarat-untuk-buka-blokir-chatgpt
"Juara Lomba Fotografi Sony World Tolak Penghargaan, Akui Fotonya Hasil AI",https://www.kompas.com/global/read/2023/04/23/193500470/juara-lomba-fotografi-sony-world-tolak-penghargaan-akui-fotonya-hasil-ai
"Cuaca Panas Ekstrem di Thailand, Suhu Capai 42 Derajat Celsius",https://www.kompas.com/global/read/2023/04/23/183400270/cuaca-panas-ekstrem-di-thailand-suhu-capai-42-derajat-celsius
"Toko Emas Dijarah Saat Demo Perancis, Kerugian Rp 410,7 Juta",https://www.kompas.com/global/read/2023/04/23/173300170/toko-emas-dijarah-saat-demo-perancis-kerugian-rp-4107-juta
Temuan Buaya Besar Tanpa Kepala Gegerkan Warga Australia,https://www.kompas.com/global/read/2023/04/23/163200570/temuan-buaya-besar-tanpa-kepala-gegerkan-warga-australia
Twitter Kembalikan Centang Biru Gratis untuk Beberapa Media dan Selebritas,https://www.kompas.com/global/read/2023/04/23/153100770/twitter-kembalikan-centang-biru-gratis-untuk-beberapa-media-dan
"Giliran Perancis Evakuasi Warga di Sudan, Jumlahnya Jauh Lebih Sedikit dari WNI",https://www.kompas.com/global/read/2023/04/23/142900670/giliran-perancis-evakuasi-warga-di-sudan-jumlahnya-jauh-lebih-sedikit
Arab Saudi Akan Renovasi Masjid Berusia Hampir 1.000 Tahun di Madinah Ini,https://www.kompas.com/global/read/2023/04/23/132900970/arab-saudi-akan-renovasi-masjid-berusia-hampir-1.000-tahun-di-madinah-ini
"Dibantu Arab Saudi, Djibouti, dan Ethiopia, AS Evakuasi para Diplomat di Sudan",https://www.kompas.com/global/read/2023/04/23/122700170/dibantu-arab-saudi-djibouti-dan-ethiopia-as-evakuasi-para-diplomat-di
"Ulama Sunni Iran Kritik Kebijakan Pemerintah, Sebut Protes adalah Hak Rakyat",https://www.kompas.com/global/read/2023/04/23/112800470/ulama-sunni-iran-kritik-kebijakan-pemerintah-sebut-protes-adalah-hak
Wujud Pohon Tertua di Dunia yang Ditemukan di Hutan Chili,https://www.kompas.com/global/read/2023/04/23/102900270/wujud-pohon-tertua-di-dunia-yang-ditemukan-di-hutan-chili
Meghan Kritik Media Inggris atas Laporan Surat Kepada Raja Charles III,https://www.kompas.com/global/read/2023/04/23/092900670/meghan-kritik-media-inggris-atas-laporan-surat-kepada-raja-charles-iii
Sejumlah Negara Mulai Evakuasi Warganya dari Sudan,https://www.kompas.com/global/read/2023/04/23/082800070/sejumlah-negara-mulai-evakuasi-warganya-dari-sudan
Thailand Peringatkan Warga Tak Keluar Rumah karena Panas Ekstrem,https://www.kompas.com/global/read/2023/04/23/072854270/thailand-peringatkan-warga-tak-keluar-rumah-karena-panas-ekstrem
"Rangkuman Hari Ke-423 Serangan Rusia ke Ukraina: Rusia Cegah Warganya ke Kanada, Unit Belarus Berlatih Sistem Rudal",https://www.kompas.com/global/read/2023/04/23/062800270/rangkuman-hari-ke-423-serangan-rusia-ke-ukraina--rusia-cegah-warganya-ke
[UNIK GLOBAL] Lomba Bunuh Kucing di Selandia Baru | Karyawan China Dapat Cuti 356 Hari,https://www.kompas.com/global/read/2023/04/23/053816070/unik-global-lomba-bunuh-kucing-di-selandia-baru-karyawan-china-dapat-cuti
Selandia Baru Larang Pengiriman Ternak Lewat Laut,https://www.kompas.com/global/read/2023/04/22/220000770/selandia-baru-larang-pengiriman-ternak-lewat-laut
"Pilot India Langgar Aturan, Bawa Wanita di Kokpit Sambil Bercengkrama",https://www.kompas.com/global/read/2023/04/22/213955270/pilot-india-langgar-aturan-bawa-wanita-di-kokpit-sambil-bercengkrama
"Nekat Mandi di Kandang Badak Kebun Binatang, Pria Auckland Ditangkap",https://www.kompas.com/global/read/2023/04/22/211500770/nekat-mandi-di-kandang-badak-kebun-binatang-pria-auckland-ditangkap
"Waspadai Arcturus, Subvarian Baru Covid-19",https://www.kompas.com/global/read/2023/04/22/203100270/waspadai-arcturus-subvarian-baru-covid-19
"Tank Abrams AS Tiba di Jerman Mei, Tentara Ukraina Segera Dilatih",https://www.kompas.com/global/read/2023/04/22/194500170/tank-abrams-as-tiba-di-jerman-mei-tentara-ukraina-segera-dilatih
"Unik, Pesawat Batal Terbang karena Toilet Kabin Tak Bisa Disiram",https://www.kompas.com/global/read/2023/04/22/190000770/unik-pesawat-batal-terbang-karena-toilet-kabin-tak-bisa-disiram
Presiden Uganda Tolak Teken RUU Hukuman Mati LGBT,https://www.kompas.com/global/read/2023/04/22/181500270/presiden-uganda-tolak-teken-ruu-hukuman-mati-lgbt
"WMO Sebut 2022 Tahun yang Tidak Menyenangkan, Panas, dan Mematikan",https://www.kompas.com/global/read/2023/04/22/173100770/wmo-sebut-2022-tahun-yang-tidak-menyenangkan-panas-dan-mematikan
Konjen RI Sydney Gelar Shalat Id Bersama Ribuan Muslim Indonesia,https://www.kompas.com/global/read/2023/04/22/172811470/konjen-ri-sydney-gelar-shalat-id-bersama-ribuan-muslim-indonesia
9 Makanan Khas Lebaran dari Berbagai Negara di Dunia,https://internasional.kompas.com/read/2023/04/22/164500670/9-makanan-khas-lebaran-dari-berbagai-negara-di-dunia
Jepang Bersiap Tembak Satelit Mata-mata Korea Utara,https://www.kompas.com/global/read/2023/04/22/160100870/jepang-bersiap-tembak-satelit-mata-mata-korea-utara-
"Meski Bersengketa soal Laut China Selatan, Filipina Tetap Berhubungan dengan Beijing",https://www.kompas.com/global/read/2023/04/22/150100370/meski-bersengketa-soal-laut-china-selatan-filipina-tetap-berhubungan
"Kisah Kyoichiro Sugimoto, Pria Jepang Mualaf yang Berupaya Hapus Citra Negatif Islam",https://www.kompas.com/global/read/2023/04/22/140000770/kisah-kyoichiro-sugimoto-pria-jepang-mualaf-yang-berupaya-hapus-citra
"Selangkah Lagi Kuasai Total Bakhmut, Pasukan Rusia Bertempur di Bagian Terakhir Kota",https://www.kompas.com/global/read/2023/04/22/130100770/selangkah-lagi-kuasai-total-bakhmut-pasukan-rusia-bertempur-di-bagian
"Ditemukan, Bangkai Kapal Perang Dunia 2 yang Ditorpedo dan Tewaskan 979 Warga Australia",https://www.kompas.com/global/read/2023/04/22/121500270/ditemukan-bangkai-kapal-perang-dunia-2-yang-ditorpedo-dan-tewaskan-979
"Dari Stasiun Ruang Angkasa, Astronot Muslim Sampaikan Selamat Idul Fitri, Pakai Baju Khas UEA",https://www.kompas.com/global/read/2023/04/22/111500870/dari-stasiun-ruang-angkasa-astronot-muslim-sampaikan-selamat-idul-fitri
Pertempuran di Sudan Mereda Saat Peringatan Idul Fitri,https://www.kompas.com/global/read/2023/04/22/102900070/pertempuran-di-sudan-mereda-saat-peringatan-idul-fitri-
Putin Ucapkan Selamat Idul Fitri kepada Putra Mahkota MbS,https://www.kompas.com/global/read/2023/04/22/092800070/putin-ucapkan-selamat-idul-fitri-kepada-putra-mahkota-mbs
"KBRI di Khartoum Catat 1.209 WNI Tinggal di Sudan, Evakuasi Dipersiapkan",https://www.kompas.com/global/read/2023/04/22/082800170/kbri-di-khartoum-catat-1.209-wni-tinggal-di-sudan-evakuasi-dipersiapkan
"Beberapa Negara di Asia Tenggara yang Lebaran Hari Ini, Sama dengan Indonesia",https://www.kompas.com/global/read/2023/04/22/071200270/beberapa-negara-di-asia-tenggara-yang-lebaran-hari-ini-sama-dengan
"Rangkuman Hari Ke-422 Serangan Rusia ke Ukraina: Petani UE Timur Marah, Warga Rusia Gabung Ukraina",https://www.kompas.com/global/read/2023/04/22/062800370/rangkuman-hari-ke-422-serangan-rusia-ke-ukraina--petani-ue-timur-marah
"[POPULER GLOBAL] Kapal Selam AS Diam-diam Melintas | 1,64 Ton Emas Dicuri",https://www.kompas.com/global/read/2023/04/22/052900770/-populer-global-kapal-selam-as-diam-diam-melintas-1-64-ton-emas-dicuri
"Beruang Kehausan Bobol Mobil di Kanada, Tenggak 69 Kaleng Soda",https://www.kompas.com/global/read/2023/04/21/213000570/beruang-kehausan-bobol-mobil-di-kanada-tenggak-69-kaleng-soda
Korea Utara Kritik G7 atas Seruan Denuklirisasi,https://www.kompas.com/global/read/2023/04/21/204500570/korea-utara-kritik-g7-atas-seruan-denuklirisasi
"Tragedi Bagi-bagi Uang Maut di Yaman, Siapa Bertanggung Jawab?",https://www.kompas.com/global/read/2023/04/21/191500270/tragedi-bagi-bagi-uang-maut-di-yaman-siapa-bertanggung-jawab-
Biden Umumkan Kampanye Pencalonan Kembali Pekan Depan,https://www.kompas.com/global/read/2023/04/21/183000970/biden-umumkan-kampanye-pencalonan-kembali-pekan-depan
Menlu China: Kedua Sisi Selat Taiwan Adalah Milik China,https://www.kompas.com/global/read/2023/04/21/174500670/menlu-china--kedua-sisi-selat-taiwan-adalah-milik-china
Vladimir Putin Ucapkan Selamat Idul Fitri untuk Muslim Rusia,https://www.kompas.com/global/read/2023/04/21/170000270/vladimir-putin-ucapkan-selamat-idul-fitri-untuk-muslim-rusia
"Centang Biru Twitter Sempat Hilang karena Tak Bayar, dari Oprah hingga Paus Fransiskus",https://www.kompas.com/global/read/2023/04/21/161600170/centang-biru-twitter-sempat-hilang-karena-tak-bayar-dari-oprah-hingga
Parlemen AS Setujui Larangan Atlet Transgender Berlaga,https://www.kompas.com/global/read/2023/04/21/153000870/parlemen-as-setujui-larangan-atlet-transgender-berlaga
Tersangka Pembocor Dokumen Intelijen Rahasia AS Tetap dalam Tahanan,https://www.kompas.com/global/read/2023/04/21/144500770/tersangka-pembocor-dokumen-intelijen-rahasia-as-tetap-dalam-tahanan
Isi Lengkap Pidato Idul Fitri Presiden AS Joe Biden,https://www.kompas.com/global/read/2023/04/21/134500670/isi-lengkap-pidato-idul-fitri-presiden-as-joe-biden
2 Kapal Nelayan Asal Indonesia Masih Hilang di Perairan Australia,https://www.kompas.com/global/read/2023/04/21/124500670/2-kapal-nelayan-asal-indonesia-masih-hilang-di-perairan-australia
G7 Disebut Siapkan Penerapan Larangan Ekspor Total ke Rusia,https://www.kompas.com/global/read/2023/04/21/114500070/g7-disebut-siapkan-penerapan-larangan-ekspor-total-ke-rusia
Pria Miskin Meksiko Dibakar Sampai Meninggal karena Curi 2 Brokoli,https://www.kompas.com/global/read/2023/04/21/104500970/pria-miskin-meksiko-dibakar-sampai-meninggal-karena-curi-2-brokoli
"Pencurian Emas Besar-besaran di Bandara Kanada, 1,63 Ton Senilai Rp 1,5 Triliun Raib",https://www.kompas.com/global/read/2023/04/21/094500170/pencurian-emas-besar-besaran-di-bandara-kanada-1-63-ton-senilai-rp-1-5
"Diam-diam Lintasi Selat Hormuz, Kapal Selam AS Dipaksa Iran Muncul ke Permukaan",https://www.kompas.com/global/read/2023/04/21/084500370/diam-diam-lintasi-selat-hormuz-kapal-selam-as-dipaksa-iran-muncul-ke
15 Ucapan Lebaran atau Idul Fitri dalam Bahasa Inggris Beserta Artinya,https://internasional.kompas.com/read/2023/04/21/074500770/15-ucapan-lebaran-atau-idul-fitri-dalam-bahasa-inggris-beserta-artinya
"Rangkuman Hari Ke-421 Serangan Rusia ke Ukraina: Kyiv Punya Tempat di NATO, Sejumlah Pasukan Ukraina Berkhianat",https://www.kompas.com/global/read/2023/04/21/064500670/rangkuman-hari-ke-421-serangan-rusia-ke-ukraina--kyiv-punya-tempat-di
[POPULER GLOBAL] Arab Saudi Lebaran Jumat | Ronaldo Terancam Dideportasi,https://www.kompas.com/global/read/2023/04/21/054500970/-populer-global-arab-saudi-lebaran-jumat-ronaldo-terancam-dideportasi
"Prediksi Meleset, Arab Saudi Umumkan Lebaran 2023 Jatuh pada Jumat",https://www.kompas.com/global/read/2023/04/20/225447670/prediksi-meleset-arab-saudi-umumkan-lebaran-2023-jatuh-pada-jumat
Kota Bernama Kyle di Texas Kumpulkan 2.326 Orang Bernama Kyle,https://www.kompas.com/global/read/2023/04/20/223000370/kota-bernama-kyle-di-texas-kumpulkan-2.326-orang-bernama-kyle
"Cara Unik Apotek Inggris Bikin Jera Pengutil, Pasang Wall of Shame",https://www.kompas.com/global/read/2023/04/20/220000670/cara-unik-apotek-inggris-bikin-jera-pengutil-pasang-wall-of-shame
Denmark dan Belanda Janji Kirim 14 Tank Leopard 2 ke Ukraina,https://www.kompas.com/global/read/2023/04/20/214500770/denmark-dan-belanda-janji-kirim-14-tank-leopard-2-ke-ukraina
Roket Canggih Starship Milik SpaceX Meledak saat Peluncuran Uji Coba,https://www.kompas.com/global/read/2023/04/20/214156470/roket-canggih-starship-milik-spacex-meledak-saat-peluncuran-uji-coba
Pengacara Arab Saudi Desak Agar Cristiano Ronaldo Dideportasi,https://www.kompas.com/global/read/2023/04/20/211500270/pengacara-arab-saudi-desak-agar-cristiano-ronaldo-dideportasi
"Setelah China dan India, Pakistan Putuskan Beli Minyak Rusia yang Lebih Murah",https://www.kompas.com/global/read/2023/04/20/204500370/setelah-china-dan-india-pakistan-putuskan-beli-minyak-rusia-yang-lebih
"Gelombang Panas Ekstrem Panggang Bangladesh, Suhu Capai 42,8 Derajat Celsius",https://www.kompas.com/global/read/2023/04/20/201500070/gelombang-panas-ekstrem-panggang-bangladesh-suhu-capai-42-8-derajat
Rusia Peringatkan Korea Selatan Jangan Kirim Senjata ke Ukraina,https://www.kompas.com/global/read/2023/04/20/194500970/rusia-peringatkan-korea-selatan-jangan-kirim-senjata-ke-ukraina
"AS Umumkan Bantuan Militer Baru Rp 4,8 Triliun ke Ukraina",https://www.kompas.com/global/read/2023/04/20/190000670/as-umumkan-bantuan-militer-baru-rp-4-8-triliun-ke-ukraina
Keponakan John F Kennedy Maju Jadi Capres AS 2024,https://www.kompas.com/global/read/2023/04/20/181500470/keponakan-john-f-kennedy-maju-jadi-capres-as-2024
"Kilatan Cahaya Picu Peringatan Serangan Udara di Kyiv, Ternyata Satelit NASA Masuk Bumi",https://www.kompas.com/global/read/2023/04/20/173000870/kilatan-cahaya-picu-peringatan-serangan-udara-di-kyiv-ternyata-satelit
Pesawat Austrian Airlines Putar Balik karena 5 Toilet Tak Bisa Disiram,https://www.kompas.com/global/read/2023/04/20/164500170/pesawat-austrian-airlines-putar-balik-karena-5-toilet-tak-bisa-disiram
Rangkuman Hari Ke-420 Serangan Rusia ke Ukraina: Kilatan Cahaya di Kyiv | Peringatan untuk Korsel,https://www.kompas.com/global/read/2023/04/20/160000070/rangkuman-hari-ke-420-serangan-rusia-ke-ukraina--kilatan-cahaya-di-kyiv
"Australia Negara Pertama yang Umumkan Lebaran 2023, Jatuh pada Sabtu",https://www.kompas.com/global/read/2023/04/20/153908470/australia-negara-pertama-yang-umumkan-lebaran-2023-jatuh-pada-sabtu
Penasihat Keamanan Nasional Presiden Brasil Mengundurkan Diri,https://www.kompas.com/global/read/2023/04/20/151500170/penasihat-keamanan-nasional-presiden-brasil-mengundurkan-diri
Gerhana Matahari Total Bikin Warga Australia Terpukau,https://www.kompas.com/global/read/2023/04/20/145000570/gerhana-matahari-total-bikin-warga-australia-terpukau
"Dianggap Menjelekkan China Terkait Populasi, Media Barat Dikecam",https://www.kompas.com/global/read/2023/04/20/143000370/dianggap-menjelekkan-china-terkait-populasi-media-barat-dikecam
Perang Ukraina Terkini: Rusia Lancarkan Serangan Drone Iran di Odessa,https://www.kompas.com/global/read/2023/04/20/134500370/perang-ukraina-terkini--rusia-lancarkan-serangan-drone-iran-di-odessa
"Jelang Babak Baru PHK Meta, 10.000 Pekerja Bisa Kena Dampaknya",https://www.kompas.com/global/read/2023/04/20/130000270/jelang-babak-baru-phk-meta-10.000-pekerja-bisa-kena-dampaknya
Teror Kapal Hantu Rusia untuk Sabotase Barat di Laut Utara,https://www.kompas.com/global/read/2023/04/20/121500670/teror-kapal-hantu-rusia-untuk-sabotase-barat-di-laut-utara
"Tinju Wajah Wanita Sekitar, Turis Perancis di Jepang Ditangkap",https://www.kompas.com/global/read/2023/04/20/113000370/tinju-wajah-wanita-sekitar-turis-perancis-di-jepang-ditangkap
"AS Terus Cari Jejak UFO, Pelajari Potensi Musuh Baru Negara",https://www.kompas.com/global/read/2023/04/20/104500870/as-terus-cari-jejak-ufo-pelajari-potensi-musuh-baru-negara
67 Juta Anak Terganggu Vaksin Rutinnya karena Pandemi Covid-19,https://www.kompas.com/global/read/2023/04/20/091800870/67-juta-anak-terganggu-vaksin-rutinnya-karena-pandemi-covid-19
"Kericuhan di Acara Amal Yaman Tewaskan 79 Orang, 100 Korban Luka-luka",https://www.kompas.com/global/read/2023/04/20/074700770/kericuhan-di-acara-amal-yaman-tewaskan-79-orang-100-korban-luka-luka
[POPULER GLOBAL] Cerita WNI Napi Terlama di Malaysia | Lebaran di Arab Saudi dan UEA,https://www.kompas.com/global/read/2023/04/20/061600470/-populer-global-cerita-wni-napi-terlama-di-malaysia-lebaran-di-arab-saudi
"Radio Publik Swedia Nonaktifkan Twitter, Imbas Label Elon Musk",https://www.kompas.com/global/read/2023/04/19/220000770/radio-publik-swedia-nonaktifkan-twitter-imbas-label-elon-musk
Usulan Inisiatif Perdamaian Ukraina dari Brasil Panen Kritikan,https://www.kompas.com/global/read/2023/04/19/215807470/usulan-inisiatif-perdamaian-ukraina-dari-brasil-panen-kritikan
Kim Jong Un: Peluncuran Satelit Mata-mata Pertama Harus Sesuai Rencana,https://www.kompas.com/global/read/2023/04/19/210000270/kim-jong-un--peluncuran-satelit-mata-mata-pertama-harus-sesuai-rencana
Korsel Berencana Beri Bantuan Militer ke Ukraina untuk Pertama Kali,https://www.kompas.com/global/read/2023/04/19/203000370/korsel-berencana-beri-bantuan-militer-ke-ukraina-untuk-pertama-kali
"Taruhan Besar Apple, Berani Buka Apple Store Perdana di India",https://www.kompas.com/global/read/2023/04/19/200000870/taruhan-besar-apple-berani-buka-apple-store-perdana-di-india
Motif China Bantu Tengahi Konflik Israel-Palestina,https://www.kompas.com/global/read/2023/04/19/193000870/motif-china-bantu-tengahi-konflik-israel-palestina
G7 Sepakat Pensiun Dini PLTU Batu Bara Lebih Cepat,https://www.kompas.com/global/read/2023/04/19/190100770/g7-sepakat-pensiun-dini-pltu-batu-bara-lebih-cepat
Lomba Bunuh Kucing Liar di Selandia Baru Dibatalkan Usai Protes Massal,https://www.kompas.com/global/read/2023/04/19/183400970/lomba-bunuh-kucing-liar-di-selandia-baru-dibatalkan-usai-protes-massal
"Grup Wagner Diduga Terlibat dalam Konflik Sudan, Ini Kiprahnya",https://www.kompas.com/global/read/2023/04/19/180100370/grup-wagner-diduga-terlibat-dalam-konflik-sudan-ini-kiprahnya
Absolut Vodka Swedia Hentikan Ekspor ke Rusia,https://www.kompas.com/global/read/2023/04/19/173000970/absolut-vodka-swedia-hentikan-ekspor-ke-rusia
Peretas Rusia Disebut Berusaha Susupi Sektor Penting Inggris,https://www.kompas.com/global/read/2023/04/19/170000970/peretas-rusia-disebut-berusaha-susupi-sektor-penting-inggris
